frase,intencao
Quais exames ocupacionais vocês fazem?,exames
Vocês fazem exame admissional?,exames
Tem exame demissional?,exames
Realizam exames periódicos?,exames
Quais tipos de exames são obrigatórios?,exames
Quais exames a clínica oferece?,exames
Preciso fazer exame ocupacional,exames
Vocês fazem exame de retorno ao trabalho?,exames
O que são normas regulamentadoras?,normas
Quais NRs vocês atendem?,normas
A empresa precisa seguir quais normas?,normas
Vocês ajudam com NR 7?,normas
Vocês trabalham com NR 9?,normas
Quais normas trabalhistas vocês seguem?,normas
Vocês trabalham com segurança do trabalho?,normas
Minha empresa precisa cumprir NR?,normas
O que é PCMSO?,pcmso
Vocês elaboram PCMSO?,pcmso
Para que serve o PCMSO?,pcmso
Minha empresa precisa de PCMSO?,pcmso
Como funciona o PCMSO?,pcmso
Quem precisa do PCMSO?,pcmso
Vocês fazem programa de saúde ocupacional?,pcmso
O que é PGR?,pgr
Vocês fazem PGR?,pgr
Para que serve o PGR?,pgr
O PGR é obrigatório?,pgr
Como funciona o PGR?,pgr
Vocês elaboram gerenciamento de riscos?,pgr
Minha empresa precisa de PGR?,pgr
Vocês fazem LTCAT?,laudos
Quais laudos vocês emitem?,laudos
Vocês fazem laudo técnico?,laudos
Preciso de laudo ocupacional?,laudos
Vocês fazem documentos ocupacionais?,laudos
Preciso emitir LTCAT,laudos
Quais laudos estão disponíveis?,laudos
Vocês integram com eSocial?,esocial
Como funciona envio para eSocial?,esocial
O sistema envia dados automaticamente?,esocial
O sistema envia informações para o eSocial?,esocial
Vocês trabalham com SST no eSocial?,esocial
O envio do eSocial é automático?,esocial
Como funciona o chatbot?,chatbot
O chatbot tira dúvidas?,chatbot
A IA responde automaticamente?,chatbot
O atendimento é automático?,chatbot
A inteligência artificial responde sozinha?,chatbot
Como a IA do sistema funciona?,chatbot
Como cadastrar empresa?,cadastro
Como cadastrar funcionários?,cadastro
Posso registrar colaboradores?,cadastro
Como registrar uma empresa?,cadastro
Como adicionar funcionários?,cadastro
Onde cadastro colaboradores?,cadastro
Quero falar com atendimento,contato
Qual o contato?,contato
Tem suporte?,contato
Como falar com suporte?,contato
Qual telefone da empresa?,contato
Preciso de ajuda,contato
Quanto custa o serviço?,planos
Quais são os planos disponíveis?,planos
Vocês têm pacotes para pequenas empresas?,planos
Quero saber os valores,planos
Qual o preço do PCMSO?,planos
Valor por funcionário,planos
Quais os preços dos planos?,planos
Tem plano para empresa pequena?,planos
Quanto custa por funcionário?,planos
